Parameter,Value
MSE,0.22795115332428764
MAE,0.11397557666214382
R-SQUARED,0.7678024304455817
RMSE,0.4774423036601257
ACCURACY,0.9430122116689281
Precision,0.943731878881596
Recall,0.9400815149444064
F1,0.9417218238262194
